participant_id	ant_corr	ant_incorr	ant_RT	alerting-code	cued-code	congruency-code
sub-pp001	1.0	0.0	496.0	0.0	2.0	0.0
sub-pp001	0.0	1.0	392.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	427.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	463.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	487.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	474.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	392.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	472.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	361.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	488.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	508.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	494.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	421.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	429.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	408.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	303.0	1.0	1.0	2.0
sub-pp001	0.0	1.0	476.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	450.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	602.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	579.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	606.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	458.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	444.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	431.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	402.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	486.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	406.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	458.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	639.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	569.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	366.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	344.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	356.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	525.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	440.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	400.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	751.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	434.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	512.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	495.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	360.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	440.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	369.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	557.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	451.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	579.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	415.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	515.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	546.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	413.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	538.0	0.0	0.0	2.0
sub-pp001	0.0	1.0	560.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	399.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	563.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	522.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	418.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	493.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	456.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	634.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	477.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	471.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	415.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	305.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	533.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	438.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	383.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	419.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	446.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	367.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	502.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	500.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	498.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	558.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	598.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	573.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	639.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	506.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	567.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	659.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	516.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	455.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	418.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	465.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	481.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	398.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	392.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	577.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	393.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	504.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	461.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	535.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	504.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	474.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	343.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	418.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	359.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	343.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	511.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	347.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	287.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	548.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	381.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	371.0	1.0	1.0	1.0
sub-pp001	0.0	1.0	336.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	427.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	449.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	415.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	375.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	434.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	495.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	614.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	596.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	504.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	481.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	362.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	301.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	522.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	493.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	470.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	408.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	455.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	458.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	499.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	533.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	582.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	398.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	491.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	414.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	671.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	366.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	465.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	501.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	637.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	444.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	446.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	615.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	527.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	526.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	382.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	521.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	475.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	387.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	375.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	349.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	486.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	453.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	345.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	378.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	282.0	1.0	1.0	0.0
sub-pp001	0.0	1.0	357.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	514.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	432.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	465.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	535.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	376.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	360.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	454.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	492.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	463.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	483.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	381.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	319.0	1.0	1.0	0.0
sub-pp001	0.0	1.0	405.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	655.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	478.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	535.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	370.0	1.0	1.0	2.0
sub-pp001	0.0	1.0	419.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	479.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	522.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	604.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	447.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	447.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	455.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	384.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	658.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	464.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	429.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	420.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	417.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	524.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	374.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	502.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	507.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	433.0	0.0	0.0	1.0
